Id;Label;EntityType;RiskScore;Date
58;"Михайло Федоров";"Individual";5.0;2021-05-13
59;"Юрій Щиголь";"Individual";5.0;2021-05-13
60;"Державна служба спеціального зв’язку та захисту інформації України";"Government Body";5.0;2019-09-12
61;"FIRST";"Organization";5.0;2021-05-13
62;"ua30.gov.ua";"Domain";5.0;2021-05-13
63;"Тренінговий кіберцентр";"Organization";5.0;2021-05-13
64;"GammaLoad";"Software";8.0;2022-02-01
65;"GammaSteel";"Software";8.0;2022-08-10
66;"HarvesterX";"Software";8.0;2022-08-10
67;"Windows Script Host";"Software";8.0;2022-02-02
68;"MSHTA";"Software";8.0;2022-05-12
69;"detroito.ru";"Domain";8.0;2022-08-10
70;"atlantar.ru";"Domain";8.0;2022-08-10
71;"motoristo.ru";"Domain";8.0;2022-08-10
72;"moolin.ru";"Domain";8.0;2022-08-10
73;"bubenci.ru";"Domain";8.0;2022-08-10
74;"callsol.ru";"Domain";8.0;2022-08-10
75;"clipperso.ru";"Domain";8.0;2022-08-10
76;"cooperi.ru";"Domain";8.0;2022-08-10
77;"farafauler.ru";"Domain";8.0;2022-08-10
78;"fishitor.ru";"Domain";8.0;2022-07-26
79;"flayga.ru";"Domain";8.0;2022-08-10
80;"ganara.ru";"Domain";8.0;2022-08-10
81;"hawksi.ru";"Domain";8.0;2022-08-10
82;"hofsteder.ru";"Domain";8.0;2022-08-10
83;"kilitro.ru";"Domain";8.0;2022-08-10
84;"kurapat.ru";"Domain";8.0;2022-08-10
85;"leonardis.ru";"Domain";8.0;2022-07-26
86;"lnasfe.ru";"Domain";8.0;2022-08-10
87;"lopasts.ru";"Domain";8.0;2022-08-10
88;"mafirti.ru";"Domain";8.0;2022-08-10
89;"metanat.ru";"Domain";8.0;2022-08-10
90;"mitlubald.ru";"Domain";8.0;2022-08-10
91;"paparat.ru";"Domain";8.0;2022-08-10
92;"pasamart.ru";"Domain";8.0;2022-08-10
93;"qkcew.ru";"Domain";8.0;2022-08-10
94;"rncsq.ru";"Domain";8.0;2022-08-10
95;"tarlit.ru";"Domain";8.0;2022-08-10
96;"tbwelo.ru";"Domain";8.0;2022-08-10
97;"wicksl.ru";"Domain";8.0;2022-08-10
98;"xcqef.ru";"Domain";8.0;2022-08-10
99;"nxkad.ru";"Domain";8.0;2022-08-10
100;"seowebchecker.com";"Domain";5.0;2022-08-10
101;"ip-api.com";"Domain";5.0;2022-05-07
102;"nexcess.net";"Domain";5.0;2022-08-10
103;"viewdns.info";"Domain";5.0;2022-08-10
104;"portcheckers.com";"Domain";5.0;2022-08-10
105;"OUTSTEEL";"Software";8.0;2021-07-13
106;"LOADJUMP";"Software";8.0;2021-07-13
107;"1833.site";"Domain";8.0;2021-07-13
108;"gov-ua.info";"Domain";8.0;2021-07-13
109;"giraffe-tour.ru";"Domain";8.0;2021-07-13
110;"Google";"Organization";5.0;2020-06-05
111;"Національний координаційний центр кібербезпеки РНБО України";"Government Body";5.0;2021-08-03
112;"Департамент кіберполіції Національної поліції України";"Government Body";5.0;2019-10-31
113;"Національний банк України";"Government Body";5.0;2021-08-03
114;"Cloudflare";"Organization";5.0;2018-05-15
115;"cyberpolice.gov.ua";"Domain";5.0;2021-08-03
116;"bank.gov.ua";"Domain";5.0;2021-08-03
117;"airmauritiusticket.com";"Domain";8.0;2021-08-03
118;"gangbang6.monster";"Domain";8.0;2021-08-03
119;"great-surveys.top";"Domain";8.0;2021-08-03
120;"accept-pay.top";"Domain";8.0;2021-08-03
121;"Ukrainian citizens";"Sector";7.5;2021-08-03
122;"Government information resources";"Sector";7.5;2021-08-20
123;"Information and telecommunication systems of government and local self-government bodies";"Sector";7.5;2021-08-20
124;"Public and private institutions, organizations, and enterprises";"Sector";7.5;2021-08-20
125;"Telecommunications operators";"Sector";7.5;2021-08-20
126;"Facebook";"Organization";5.0;2022-04-19
127;"United Nations";"Organization";5.0;2019-12-06
128;"European Union";"Organization";5.0;2019-10-31
129;"Товариство Червоного Хреста";"Organization";5.0;2022-08-30
130;"Міністерство соціальної політики України";"Government Body";5.0;2022-07-27
131;"Платформа єДопомога";"Organization";5.0;2022-08-30
132;"edopomoga.gov.ua";"Domain";5.0;2022-07-27
133;"msp.gov.ua";"Domain";5.0;2022-07-27
134;"cert.gov.ua";"Domain";5.0;2020-01-27
135;"Єдиний Компенсаційний Центр Повернення Невиплачених Грошових Коштів";"Organization";9.0;2022-07-14
136;"chis-gos.top";"Domain";8.0;2022-08-30
137;"compensationukr.com";"Domain";8.0;2022-07-14
138;"ec-compensation.xyz";"Domain";8.0;2022-08-30
139;"yolasite.com";"Domain";8.0;2022-04-19
140;"erinekenney.com";"Domain";8.0;2022-08-30
141;"hardingtwominuterule.com";"Domain";8.0;2022-08-30
142;"webflow.io";"Domain";8.0;2022-08-30
143;"ukr-compens.xyz";"Domain";8.0;2022-08-30
144;"mygraphbook.com";"Domain";8.0;2022-08-30
145;"myua-compensations.xyz";"Domain";8.0;2022-08-30
146;"pro-gos.top";"Domain";8.0;2022-08-30
147;"tax-compensation.xyz";"Domain";8.0;2022-08-30
148;"tax-compenses.xyz";"Domain";8.0;2022-08-30
149;"uabayrakua.com";"Domain";8.0;2022-08-30
150;"ua-compens.top";"Domain";8.0;2022-08-30
151;"ua-compensation.top";"Domain";8.0;2022-08-30
152;"ua-compensations.xyz";"Domain";8.0;2022-08-30
153;"ua-compenses.top";"Domain";8.0;2022-08-30
154;"uam-compensation.xyz";"Domain";8.0;2022-08-30
155;"uatax-compens.xyz";"Domain";8.0;2022-08-30
156;"uatax-compenses.xyz";"Domain";8.0;2022-08-30
157;"ua-taxes-compens.xyz";"Domain";8.0;2022-08-30
158;"ucraft.site";"Domain";8.0;2022-08-30
159;"ukrainebayra.com";"Domain";8.0;2022-08-30
160;"UAC-0120";"HackerGroup";9.0;2022-08-31
161;"Agent Tesla";"Software";8.0;2020-08-07
162;"academiadutygroup.com.br";"Domain";8.0;2022-08-31
163;"sackmeister.de";"Domain";8.0;2022-08-31
164;"ssttekstil.com";"Domain";8.0;2022-08-31
165;"t-online.de";"Domain";8.0;2022-08-31
166;"ukr.net";"Domain";8.0;2018-02-15
167;"westafrance.com";"Domain";8.0;2022-08-31
168;"aon.at";"Domain";8.0;2022-08-31
169;"Austrian organizations";"Sector";7.5;2022-08-31
170;"German organizations";"Sector";7.5;2022-08-31
171;"Intel";"Organization";5.0;2020-01-17
172;"Adobe";"Organization";5.0;2018-09-03
173;"Oracle";"Organization";5.0;2020-01-17
174;"VMware";"Organization";5.0;2020-01-17
175;"Adobe Illustrator";"Software";6.0;2020-01-17
176;"Adobe Experience Manager";"Software";6.0;2020-01-17
177;"VMware Tools";"Software";6.0;2020-01-17
178;"SNMP Subagent Stand-Alone for Windows";"Software";6.0;2020-01-17
179;"Chipset Device Software";"Software";6.0;2020-01-17
180;"RWC 3 for Windows";"Software";6.0;2020-01-17
181;"Processor Graphics";"Software";6.0;2020-01-17
182;"VTune Amplifier for Windows";"Software";6.0;2020-01-17
183;"DAAL";"Software";6.0;2020-01-17
184;"Sandworm";"HackerGroup";9.0;2022-06-10
185;"UAC-0113";"HackerGroup";9.0;2022-06-10
186;"CrescentImp";"Software";8.0;2022-06-10
187;"DarkCrystal RAT";"Software";8.0;2022-06-10
188;"MSDriverLoader.exe";"Software";8.0;2022-06-10
189;"MSDriverMonitor.exe";"Software";8.0;2022-06-10
190;"CVE-2022-30190";"Software";8.0;2022-06-02
191;"ddns.net";"Domain";8.0;2018-09-03
192;"Ukrainian media organizations";"Sector";7.5;2022-06-10
193;"Центральний спортивний клуб Збройних Сил України";"Government Body";5.0;2021-10-26
194;"Збройні Сили України";"Government Body";5.0;2021-10-26
195;"Рада національної безпеки та оборони України";"Government Body";5.0;2021-11-10
196;"CVE-2020-7048";"Software";8.0;2020-01-20
197;"CVE-2020-7047";"Software";8.0;2020-01-20
198;"WP Database Reset";"Software";6.0;2020-01-20
199;"Websites using WP Database Reset plugin";"Sector";7.5;2020-01-20
200;"WebFactory Ltd";"Organization";5.0;2020-01-20
201;"Wordfence";"Organization";5.0;2020-01-20
202;"WordPress";"Software";5.0;2018-11-15
203;"Міністерство енергетики України";"Government Body";5.0;2021-12-16
204;"НЕК «Укренерго»";"Organization";5.0;2021-12-16
205;"Нафтогаз України";"Organization";5.0;2021-12-16
206;"shodan.io";"Domain";5.0;2022-09-12
207;"CVE-2021-34523";"Software";8.0;2022-09-12
208;"CVE-2021-34473";"Software";8.0;2022-09-12
209;"CVE-2021-31207";"Software";8.0;2022-09-12
210;"ProxyShell";"Software";8.0;2022-09-12
211;"ProxyLogon";"Software";8.0;2022-09-12
212;"CVE-2018-13379";"Software";8.0;2022-09-12
213;"Apache Log4j";"Software";6.0;2022-01-26
214;"CVE-2021-44228";"Software";8.0;2022-09-12
215;"MikroTik";"Software";6.0;2022-09-12
216;"Proxmox";"Software";6.0;2022-09-12
217;"ISPmanager";"Software";6.0;2022-09-12
218;"DirectAdmin";"Software";6.0;2022-09-12
219;"Webmin";"Software";6.0;2022-09-12
220;"phpMyAdmin";"Software";6.0;2022-09-12
221;"АСКОД";"Software";6.0;2022-09-12
222;"Government bodies";"Sector";7.5;2019-02-04
223;"Enterprises, institutions, and organizations of various forms of ownership";"Sector";7.5;2021-12-24
224;"Оперативний центр реагування на кіберінциденти (SOC) Державного центру кіберзахисту Держспецзв’язку";"Government Body";5.0;2021-12-24
225;"Оперативно-технічна служба Державного центру кіберзахисту Держспецзв’язку";"Government Body";5.0;2021-12-24
226;"Система виявлення вразливостей і реагування на кіберінциденти та кібератаки";"Infrastructure";5.0;2022-01-04
227;"Web resources of government bodies";"Sector";7.5;2020-01-27
228;"Міністерство закордонних справ України";"Government Body";9.0;2022-01-14
229;"Міністерство освіти і науки України";"Government Body";9.0;2019-09-23
230;"Служба безпеки України";"Government Body";5.0;2019-10-31
231;"October CMS";"Software";8.0;2022-01-14
232;"CVE-2021-32648";"Software";8.0;2022-01-14
233;"GHSA-mxr5-mc97-63rc";"Software";8.0;2022-01-14
234;"CVE-2022-21907";"Software";5.0;2022-01-18
235;"HTTP.sys";"Software";6.0;2022-01-18
236;"Windows Server 2019";"Software";6.0;2020-01-15
237;"Windows 10";"Software";6.0;2020-01-15
238;"Web resources of government organizations";"Sector";7.5;2022-01-26
239;"BootPatch";"Software";8.0;2022-01-26
240;"WhisperKill";"Software";8.0;2022-01-26
241;"WhisperGate";"Software";8.0;2022-01-26
242;"WhisperPack";"Software";8.0;2022-01-26
243;"Impacket";"Software";8.0;2022-01-26
244;"wmiexec";"Software";8.0;2022-01-26
245;"smbexec";"Software";8.0;2022-01-26
246;"AdvancedRun.exe";"Software";8.0;2022-01-26
247;"Eazfuscator.NET";"Software";8.0;2022-01-26
248;"discordapp.com";"Domain";8.0;2022-01-26
249;"Sysmon";"Software";5.0;2022-01-26
250;"NirSoft";"Organization";5.0;2022-01-26
251;"Encrpt3d";"Software";8.0;2022-01-26
252;"WhiteBlackCrypt";"Software";8.0;2022-01-26
253;"tomhunter";"Organization";5.0;2022-01-26
254;"Сили спеціальних операцій Збройних Сил України";"Government Body";5.0;2022-01-26
255;"WEX";"Organization";5.0;2022-01-26
256;"Federal Security Service of Russia (FSB)";"Government Body";5.0;2022-01-26
257;"BinDiff";"Software";5.0;2022-01-26
258;"Encrpt3d";"HackerGroup";5.0;2022-01-26
259;"UAC-0096";"HackerGroup";9.0;2022-01-28
260;"rmssrv2.ru";"Domain";8.0;2022-01-28
261;"rmssrv3.ru";"Domain";8.0;2022-01-28
262;"rmssrv4.ru";"Domain";8.0;2022-01-28
263;"Google Drive";"Software";5.0;2022-01-28
264;"DropMeFiles";"Software";5.0;2022-01-28
265;"Usoris";"Organization";5.0;2022-01-28
266;"UAC-0056";"HackerGroup";9.0;2022-01-31
267;"SaintBot";"Software";8.0;2022-01-31
268;"Національна служба здоров’я України";"Government Body";5.0;2022-01-31
269;"Ukrainian government organizations";"Sector";7.5;2022-01-31
270;"Discord";"Organization";5.0;2022-01-31
271;"eumr.site";"Domain";8.0;2022-01-31
272;"8003659902.space";"Domain";8.0;2022-01-31
273;"smm2021.net";"Domain";8.0;2022-01-31
274;"8003659902.site";"Domain";8.0;2022-01-31
275;"1000020.xyz";"Domain";8.0;2022-01-31
276;"lthhc-zm.com";"Domain";8.0;2022-01-31
277;"swtest.ru";"Domain";8.0;2022-02-01
278;"coagula.online";"Domain";8.0;2022-02-01
279;"tortunas.ru";"Domain";8.0;2022-02-01
280;"phymateus.online";"Domain";8.0;2022-02-01
281;"email.cz";"Domain";8.0;2022-02-01
282;"Адміністрація морських портів України";"Organization";5.0;2022-02-01
283;"Кіберцентр Державної прикордонної служби України";"Government Body";5.0;2022-02-01
284;"Microsoft Word";"Software";8.0;2019-06-20
285;"AutoIt";"Software";8.0;2022-02-02
286;"Національна поліція України";"Government Body";5.0;2022-02-02
287;"Microsoft Office";"Software";8.0;2018-05-11
288;"Microsoft Excel";"Software";8.0;2020-02-06
289;"Microsoft PowerPoint";"Software";8.0;2020-02-06
290;"Cisco";"Organization";5.0;2018-05-23
291;"Cisco Discovery Protocol";"Software";5.0;2020-02-12
292;"CDPwn";"Software";5.0;2020-02-12
293;"CVE-2020-3120";"Software";5.0;2020-02-12
294;"CVE-2020-3119";"Software";5.0;2020-02-12
295;"CVE-2020-3118";"Software";5.0;2020-02-12
296;"CVE-2020-3111";"Software";5.0;2020-02-12
297;"CVE-2020-3110";"Software";5.0;2020-02-12
298;"Cisco FXOS";"Software";5.0;2020-02-12
299;"Cisco IOS XR";"Software";5.0;2020-02-12
300;"Cisco NX-OS";"Software";5.0;2020-02-12
301;"Cisco IP phones";"Device";6.5;2020-02-12
302;"Cisco 8000 Series IP cameras";"Device";6.5;2020-02-12
303;"Cisco switches";"Device";6.5;2020-02-12
304;"Cisco routers";"Device";6.5;2020-02-12
305;"Adobe Flash Player";"Software";6.0;2018-05-11
306;"Adobe Digital Editions";"Software";6.0;2020-02-13
307;"Adobe FrameMaker";"Software";6.0;2020-02-13
308;"Adobe Acrobat Reader";"Software";6.0;2020-02-13
309;"Adobe Acrobat Reader DC";"Software";6.0;2020-02-13
310;"CVE-2020-3757";"Software";6.0;2020-02-13
311;"CVE-2020-3760";"Software";6.0;2020-02-13
312;"CVE-2020-3759";"Software";6.0;2020-02-13
313;"CVE-2020-3741";"Software";6.0;2020-02-13
314;"Tropical Scorpius";"HackerGroup";9.0;2022-10-22
315;"UNC2596";"HackerGroup";9.0;2022-10-22
316;"RomCom";"Software";8.0;2022-10-22
317;"Cuba";"Software";8.0;2022-10-22
318;"CVE-2022-24521";"Software";8.0;2022-10-22
319;"RemCom";"Software";8.0;2022-10-22
320;"Unit 42";"Organization";5.0;2022-10-22
321;"Mandiant";"Organization";5.0;2022-03-07
322;"Пресслужба Генерального штабу Збройних Сил України";"Government Body";5.0;2022-10-22
323;"notfiled.com";"Domain";8.0;2022-10-22
324;"aspx.io";"Domain";8.0;2022-10-22
325;"mill.co.ua";"Domain";8.0;2022-10-22
326;"advanced-ip-scanners.com";"Domain";8.0;2022-10-22
327;"advanced-ip-scaner.com";"Domain";8.0;2022-10-22
328;"combinedresidency.org";"Domain";8.0;2022-10-22
329;"4qzm.com";"Domain";8.0;2022-10-22
330;"CVE-2017-11882";"Software";8.0;2018-09-18
331;"major.exe";"Software";8.0;2020-02-21
332;"PGMB New Order 18-2077.xlsx";"Software";8.0;2020-02-21
333;"Microsoft Equation Editor";"Software";6.0;2020-02-21
334;"Cisco ASA";"Software";6.0;2020-06-08
335;"Cisco Firepower Threat Defense";"Software";6.0;2020-06-08
336;"Cisco Firepower Management Center";"Software";5.0;2020-06-08
337;"Cisco Firepower 1000 Series";"Device";6.5;2020-06-08
338;"CVE-2020-3191";"Software";5.0;2020-06-08
339;"CVE-2020-3298";"Software";5.0;2020-06-08
340;"CVE-2020-3254";"Software";5.0;2020-06-08
341;"CVE-2020-3195";"Software";5.0;2020-06-08
342;"CVE-2020-3196";"Software";5.0;2020-06-08
343;"CVE-2020-3259";"Software";5.0;2020-06-08
344;"CVE-2020-3187";"Software";5.0;2020-06-08
345;"CVE-2020-3125";"Software";5.0;2020-06-08
346;"CVE-2020-3283";"Software";5.0;2020-06-08
347;"CVE-2020-3179";"Software";5.0;2020-06-08
348;"CVE-2020-3255";"Software";5.0;2020-06-08
349;"CVE-2020-3189";"Software";5.0;2020-06-08
350;"Mozilla";"Organization";5.0;2020-06-05
351;"Apple";"Organization";5.0;2018-09-03
352;"Mozilla Thunderbird";"Software";6.0;2018-05-15
353;"Mozilla Firefox ESR";"Software";6.0;2020-06-05
354;"Mozilla Firefox";"Software";6.0;2020-06-05
355;"Firefox for iOS";"Software";6.0;2020-06-05
356;"VMware ESXi";"Software";6.0;2020-06-05
357;"VMware Workstation Pro";"Software";6.0;2020-06-05
358;"VMware Workstation Player";"Software";6.0;2020-06-05
359;"VMware Fusion Pro";"Software";6.0;2020-06-05
360;"VMware Fusion";"Software";6.0;2020-06-05
361;"VMware Remote Console for Mac";"Software";6.0;2020-06-05
362;"VMware Horizon Client for Mac";"Software";6.0;2020-06-05
363;"iOS";"Software";6.0;2020-06-05
364;"iPadOS";"Software";6.0;2020-06-05
365;"macOS";"Software";6.0;2020-06-05
366;"tvOS";"Software";6.0;2020-06-05
367;"watchOS";"Software";6.0;2020-06-05
368;"Google Chrome";"Software";6.0;2018-05-15
369;"Cisco IOS";"Software";6.0;2020-06-05
370;"Cisco IOS XE";"Software";6.0;2020-06-05
371;"AZORult";"Software";8.0;2018-09-18
372;"CoronaMap.exe";"Software";8.0;2020-03-24
373;"Corona-virus-Map.com.exe";"Software";8.0;2020-03-24
374;"Johns Hopkins University";"Organization";5.0;2020-03-24
375;"virustotal.com";"Domain";5.0;2018-09-18
376;"i.ua";"Domain";8.0;2020-04-01
377;"Міністерство охорони здоров’я України";"Government Body";5.0;2020-04-01
378;"VirusTotal";"Organization";5.0;2018-02-22
379;"microsoft.com";"Domain";5.0;2019-06-20
380;"United States Computer Emergency Readiness Team (US-CERT)";"Government Body";5.0;2018-05-15
381;"United States";"Country";5.0;2018-05-15
382;"National Security Agency (NSA)";"Government Body";5.0;2020-01-15
383;"CVE-2020-0601";"Software";5.0;2020-01-15
384;"CVE-2020-0609";"Software";5.0;2020-01-15
385;"CVE-2020-0610";"Software";5.0;2020-01-15
386;"CVE-2020-0611";"Software";5.0;2020-01-15
387;"Windows Server 2016";"Software";6.0;2020-01-15
388;"Windows Server 2012";"Software";6.0;2019-06-20
389;"Remote Desktop Connection";"Software";6.0;2020-01-15
390;"Remote Desktop Gateway";"Software";6.0;2020-01-15
391;"Windows 7";"Software";6.0;2018-05-11
392;"Windows Server 2008 R2";"Software";6.0;2020-01-15
393;"Ситуаційний центр забезпечення кібербезпеки СБУ";"Government Body";5.0;2020-07-28
394;"Critical infrastructure";"Sector";7.5;2020-07-28
395;"nslookup";"Software";5.0;2020-07-28
396;"whois";"Software";5.0;2020-07-28
397;"Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»";"Organization";5.0;2019-09-13
398;"International Foundation for Electoral Systems (IFES)";"Organization";5.0;2019-09-12
399;"cautionphenomenon.co.kr";"Domain";8.0;2019-07-30
400;"./перевірити діяльність.html";"Software";8.0;2019-07-30
401;"./decpded_page.html";"Software";8.0;2019-07-30
402;"Petya";"Software";8.0;2019-06-20
403;"Misha";"Software";8.0;2019-06-20
404;"Microsoft Windows";"Software";5.0;2018-05-11
405;"Windows Vista";"Software";5.0;2019-06-20
406;"Windows Server 2008";"Software";5.0;2018-05-11
407;"CVE-2019-0708";"Software";8.0;2020-01-15
408;"RDP";"Software";8.0;2020-01-15
409;"Windows Server 2003";"Software";6.0;2020-01-15
410;"Windows XP";"Software";6.0;2020-01-15
411;"mitre.org";"Domain";5.0;2020-01-15
412;"symantec.com";"Domain";5.0;2020-01-15
413;"Global Commission on the Stability of Cyberspace (GCSC)";"Organization";5.0;2019-12-06
414;"Paris Peace Forum";"Organization";5.0;2019-12-06
415;"UN Group of Governmental Experts (GGE)";"Organization";5.0;2019-12-06
416;"UN Open-Ended Working Group (OEWG)";"Organization";5.0;2019-12-06
417;"Група високого рівня";"Organization";5.0;2019-12-06
418;"Уряд Нідерландів";"Government Body";5.0;2019-12-06
419;"Estonia";"Country";5.0;2019-12-06
420;"India";"Country";5.0;2019-12-06
421;"Антоніу Гутерреш";"Individual";5.0;2019-12-06
422;"Майкл Чертофф";"Individual";5.0;2019-12-06
423;"mail.gov.ua";"Domain";8.0;2022-11-08
424;"civh.ru";"Domain";8.0;2022-11-08
425;"hilr.ru";"Domain";8.0;2022-11-08
426;"info-cip.org";"Domain";8.0;2022-11-08
427;"ua-cip.org";"Domain";8.0;2022-11-08
428;"rubidiumo.ru";"Domain";8.0;2022-11-08
429;"shapurt.ru";"Domain";8.0;2022-11-08
430;"ardeas.ru";"Domain";8.0;2022-11-08
431;"cloudflare-dns.com";"Domain";5.0;2022-07-26
432;"t.me";"Domain";5.0;2022-07-26
433;"Telegram";"Organization";5.0;2022-05-07
434;"Estonian Center of Eastern Partnership (ECEAP)";"Organization";5.0;2019-10-31
435;"CybExer Technologies";"Organization";5.0;2019-10-31
436;"Local media";"Sector";5.0;2019-10-31
437;"Департамент контррозвідувального захисту інтересів держави у сфері інформаційної безпеки СБУ";"Government Body";5.0;2019-10-31
438;"Центральна виборча комісія";"Government Body";5.0;2019-10-31
439;"ГО «Міжнародний університет цифрової безпеки»";"Organization";5.0;2019-10-31
440;"Валентин Петров";"Individual";5.0;2019-10-31
441;"Худинцев Микола Миколайович";"Individual";5.0;2019-09-23
442;"Микола Кулешов";"Individual";5.0;2019-10-31
443;"Роман Боярчук";"Individual";5.0;2019-10-31
444;"Alliance of Democracies Foundation";"Organization";5.0;2019-10-29
445;"Information space of Ukraine";"Sector";7.5;2019-10-29
446;"Linux";"Software";6.0;2019-10-22
447;"rtlwifi";"Software";6.0;2019-10-22
448;"CVE-2019-17666";"Software";6.0;2019-10-22
449;"Realtek";"Organization";5.0;2019-10-22
450;"Linux Team";"Organization";5.0;2019-10-22
451;"Microsoft SQL Server";"Software";6.0;2019-10-22
452;"TeamViewer";"Software";6.0;2019-10-22
453;"FireEye";"Organization";5.0;2019-10-22
454;"APT41";"HackerGroup";9.0;2019-10-22
455;"China";"Country";10.0;2019-10-22
456;"OptiData";"Organization";5.0;2019-03-30
457;"Центр соціальних та маркетингових досліджень (SOCIS)";"Organization";8.0;2019-03-30
458;"Check Point";"Organization";5.0;2019-02-28
459;"WinRAR";"Software";6.0;2019-02-28
460;"zakon.rar";"Software";8.0;2019-02-28
461;"CVE-2018-20250";"Software";5.0;2019-02-28
462;"CVE-2018-20251";"Software";5.0;2019-02-28
463;"CVE-2018-20252";"Software";5.0;2019-02-28
464;"CVE-2018-20253";"Software";5.0;2019-02-28
465;"Архів листування російської терористки М.Колєди.exe";"Software";8.0;2019-02-04
466;"antination.kherson.ua";"Domain";8.0;2019-02-04
467;"default-host.net";"Domain";8.0;2019-02-04
468;"UAC-0133";"HackerGroup";9.0;2022-11-09
469;"online.ua";"Domain";8.0;2022-11-09
470;"ESET_scanner.rar";"Software";8.0;2022-11-09
471;"ESET Online Scanner.exe";"Software";8.0;2022-11-09
472;"eset.yar";"Software";8.0;2022-11-09
473;"SSH.NET";"Software";8.0;2022-11-09
474;"SmokeLoader";"Software";8.0;2018-02-22
475;"ceronamtinclube.icu";"Domain";8.0;2019-01-29
476;"msftncsi.com";"Domain";8.0;2019-01-29
477;"aviatorssm.bit";"Domain";8.0;2019-01-29
478;"pastebin.com";"Domain";5.0;2018-09-18
479;"Zoom";"Software";6.0;2020-04-06
480;"hashcat";"Software";8.0;2020-04-06
481;"server.com";"Domain";8.0;2020-04-06
482;"BleepingComputer";"Organization";5.0;2020-04-06
483;"iTnews";"Organization";5.0;2020-04-06
484;"Andrea Fortuna";"Individual";5.0;2020-04-06
485;"Security Newspaper";"Organization";5.0;2020-04-06
486;"National Cybersecurity and Communications Integration Center (NCCIC)";"Government Body";5.0;2019-01-28
487;"Troldesh";"Software";8.0;2018-09-14
488;"Информация.js";"Software";8.0;2019-01-17
489;"ssj.jpg";"Software";8.0;2019-01-17
490;"info.zip";"Software";8.0;2019-01-17
491;"inf.zip";"Software";8.0;2019-01-17
492;"SMB";"Software";8.0;2019-01-17
493;"csrss.exe";"Software";8.0;2019-01-17
494;"michiganmastereltiempo.com";"Domain";8.0;2019-01-17
495;"vuonorganic.com";"Domain";8.0;2019-01-17
