Id;Label;EntityType;RiskScore
175;AZORult;Tool;7.0
176;Johns Hopkins University;Organization;6.0
177;virustotal.com;Domain;4.0
178;Thunderbird;Target;8.0
179;Firefox;Target;8.0
180;Firefox iOS;Target;8.0
181;VMware;Target;8.0
182;VMRC;Target;8.0
183;VMware Horizon;Target;8.0
184;Apple iOS;Target;8.0
185;macOS;Target;8.0
186;tvOS;Target;8.0
187;watchOS;Target;8.0
188;Chrome;Target;8.0
189;Cisco IOS;Target;8.0
190;Thunderbird;Tool;7.0
191;Firefox;Tool;7.0
192;Firefox iOS;Tool;7.0
193;VMware ESXi;Tool;7.0
194;VMware Workstation;Tool;7.0
195;VMware Fusion;Tool;7.0
196;VMRC;Tool;7.0
197;VMware Horizon;Tool;7.0
198;Apple iOS;Tool;7.0
199;macOS;Tool;7.0
200;tvOS;Tool;7.0
201;watchOS;Tool;7.0
202;Chrome;Tool;7.0
203;Cisco IOS;Tool;7.0
204;Cisco IOS XE;Tool;7.0
205;Mozilla Foundation;Organization;8.0
206;VMware;Organization;8.0
207;Apple;Organization;8.0
208;Google;Organization;8.0
209;Cisco;Organization;8.0
210;mozilla.org;Domain;7.0
211;vmware.com;Domain;7.0
212;apple.com;Domain;7.0
213;googleblog.com;Domain;7.0
214;cisco.com;Domain;7.0
215;Java;Tool;7.0
216;Ministry of Health of Ukraine;Target;8.0
217;Microsoft Office;Tool;7.0
218;Ministry of Health of Ukraine;Organization;8.0
219;i.ua;Domain;8.0
220;Estonia;Country;5.0
221;ECEAP;Organization;6.0
222;CybExer Technologies;Organization;6.0
223;Держспецзв’язку;Organization;8.0
224;Central Election Commission;Organization;8.0
225;Cyber Police;Organization;8.0
226;Security Service of Ukraine;Organization;8.0
227;International University of Cybersecurity;Organization;6.0
228;Валентин Петров;Individual;7.5
229;Микола Худинцев;Individual;7.5
230;Микола Кулешов;Individual;7.5
231;Роман Боярчук;Individual;7.5
232;eceap.eu;Domain;4.0
233;Microsoft Windows;Target;8.0
234;symantec.com;Domain;4.0
235;WinSCP;Tool;7.0
236;FileZilla;Tool;7.0
237;OpenVPN;Tool;7.0
238;jDownloader;Tool;7.0
239;SmartFTP;Tool;7.0
240;FTP Commander;Tool;7.0
241;WS_FTP;Tool;7.0
242;FTPGetter;Tool;7.0
243;Trillian;Tool;7.0
244;Claws Mail;Tool;7.0
245;Postbox;Tool;7.0
246;Outlook;Tool;7.0
247;Foxmail;Tool;7.0
248;Opera Mail;Tool;7.0
249;Pocomail;Tool;7.0
250;Becky!;Tool;7.0
251;IceDragon;Tool;7.0
252;RegAsm;Tool;7.0
253;Internet Explorer;Tool;7.0
254;Yandex Browser;Tool;7.0
255;Iridium Browser;Tool;7.0
256;Epic Privacy Browser;Tool;7.0
257;Chromium Browser;Tool;7.0
258;7Star Browser;Tool;7.0
259;Torch Browser;Tool;7.0
260;Chrome Plus Browser;Tool;7.0
261;Kometa Browser;Tool;7.0
262;Amigo Browser;Tool;7.0
263;Brave Browser;Tool;7.0
264;CentBrowser;Tool;7.0
265;Liebao Browser;Tool;7.0
266;Elements Browser;Tool;7.0
267;Vivaldi Browser;Tool;7.0
268;Citrio Browser;Tool;7.0
269;360Chrome Browser;Tool;7.0
270;Uran Browser;Tool;7.0
271;Chedot Browser;Tool;7.0
272;Orbitum Browser;Tool;7.0
273;Sputnik Browser;Tool;7.0
274;Comodo Dragon Browser;Tool;7.0
275;CocCoc Browser;Tool;7.0
276;QIP Surf Browser;Tool;7.0
277;Coowon Browser;Tool;7.0
278;Opera Browser;Tool;7.0
279;chinagrill.co;Domain;8.0
280;badpdf.com;Domain;8.0
281;dyndns.com;Domain;8.0
282;winscp.net;Domain;8.0
283;cert.ee;Domain;4.0
284;any.run;Domain;4.0
285;intezer.com;Domain;4.0
286;South Korea;Country;10.0
287;cautionphenomenon.co.kr;Domain;8.0
288;Email Accounts;Target;8.0
289;HTML file;Tool;7.0
290;Remote Desktop Protocol;Tool;7.0
291;US Elections 2016;Target;8.0
292;Netherlands;Country;5.0
293;India;Country;5.0
294;United States;Country;5.0
295;Global Commission for Cyber Stability;Organization;6.0
296;Government Group of Experts;Organization;6.0
297;Open-Stack Working Group;Organization;6.0
298;Michael Chertoff;Individual;5.0
299;António Guterres;Individual;5.0
300;RAR archive;Tool;7.0
301;mail.gov.ua;Organization;9.0
302;civh.ru;Organization;9.0
303;hilr.ru;Organization;9.0
304;rubidiumo.ru;Organization;9.0
305;shapurt.ru;Organization;9.0
306;ardeas.ru;Organization;9.0
307;tzi.info-cip.org;Organization;9.0
308;arhiv.ua-cip.org;Organization;9.0
309;ua-cip.org;Organization;9.0
310;info-cip.org;Organization;9.0
311;t.me;Domain;4.0
312;Russia;Country;5.0
313;Open-Source Working Group;Organization;6.0
314;Project Syndicate;Organization;6.0
315;nv.ua;Domain;4.0
316;project-syndicate.org;Domain;4.0
317;SOCIS;Target;8.0
318;SOCIS;Organization;8.0
319;OptiData;Organization;6.0
320;optidata.com.ua;Domain;4.0
321;Ukraine;Target;8.0
322;State Authorities;Target;8.0
323;М. Колєди;Individual;8.5
324;stenislavboika;Individual;8.5
325;kherson.ua;Domain;8.0
326;CERT-UA;Target;8.0
327;ESET Online Scanner;Tool;7.0
328;ESET_scanner;Tool;7.0
329;Renci.SshNet;Tool;7.0
330;online.ua;Organization;9.0
331;ipfib.com;Organization;6.0
332;online.ua;Domain;8.0
333;ipfib.com;Domain;4.0
334;Adobe Flash Player;Tool;7.0
335;Adobe Framemaker;Tool;7.0
336;Adobe Acrobat Reader;Tool;7.0
337;Adobe Acrobat Reader DC;Tool;7.0
338;Adobe Digital Editions;Tool;7.0
339;Adobe Experience Manager;Tool;7.0
340;ТОВ Технік;Target;8.0
341;Спец Строй Монтаж;Target;8.0
342;sysm;Tool;7.0
343;Propagate;Tool;7.0
344;Sonoko;Tool;7.0
345;зг. дог рах. фак 708.js;Tool;7.0
346;Technik Ltd.;Organization;8.0
347;SPETSTROY Montazh;Organization;8.0
348;UKRTelecom;Organization;8.0
349;Александр Владимирович Бородавко;Individual;7.5
350;Филипова Алла;Individual;7.5
351;districoperav.icu;Domain;8.0
352;varanasiclick.ru;Domain;8.0
353;nx0.ru;Domain;8.0
354;ukrtel.net;Domain;7.0
355;Linksys;Target;8.0
356;MikroTik;Target;8.0
357;NETGEAR;Target;8.0
358;TP-Link;Target;8.0
359;QNAP;Target;8.0
360;VPNFilter;Tool;7.0
361;photobucket.com;Domain;8.0
362;toknowall.com;Domain;8.0
363;zuh3vcyskd4gipkm.onion;Domain;8.0
364;Apache;Tool;7.0
365;nginx;Tool;7.0
366;OpenSSL;Tool;7.0
367;dnsmasq;Tool;7.0
368;Safari;Tool;7.0
369;Mozilla;Tool;7.0
370;Tor;Tool;7.0
371;Linksys;Organization;8.0
372;MikroTik;Organization;8.0
373;NETGEAR;Organization;8.0
374;TP-Link;Organization;8.0
375;QNAP;Organization;8.0
376;Windows;Tool;7.0
377;Qualys SSL Labs;Tool;7.0
378;Qualys;Organization;6.0
379;Digicert;Organization;6.0
380;Rapid7;Organization;6.0
381;Cloudflare;Organization;6.0
382;HostIQ;Organization;6.0
383;nist.gov;Domain;4.0
384;habr.com;Domain;4.0
385;hostiq.ua;Domain;4.0
386;ssllabs.com;Domain;4.0
387;digicert.com;Domain;4.0
388;rapid7.com;Domain;4.0
389;us-cert.gov;Domain;4.0
390;heartbleed.com;Domain;4.0
391;wikipedia.org;Domain;4.0
392;freakattack.com;Domain;4.0
393;cloudflare.com;Domain;4.0
394;keycdn.com;Domain;4.0
395;FRwL;Hacker Group;9.0
396;UAC-0118;Hacker Group;9.0
397;Somnia;Tool;7.0
398;Vidar;Tool;7.0
399;Advanced IP Scanner;Tool;7.0
400;Cobalt Strike;Tool;7.0
401;Netscan;Tool;7.0
402;Rclone;Tool;7.0
403;AnyDesk;Tool;7.0
404;Ngrok;Tool;7.0
405;Themida;Tool;7.0
406;Telegram;Organization;8.0
407;outlook.com;Domain;4.0
408;mastodon.social;Domain;4.0
409;vuxuancuong.com;Domain;8.0
410;website;Domain;8.0
411;live.com;Domain;4.0
412;zambeziz.com;Domain;8.0
413;gofile.io;Domain;4.0
414;click;Domain;8.0
415;site;Domain;8.0
416;dropbox.com;Domain;4.0
417;agrikoz.com;Domain;8.0
418;aluaadin.com;Domain;8.0
419;arminext.com;Domain;8.0
420;benokij.com;Domain;8.0
421;fudupdate.com;Domain;8.0
422;sinergil.com;Domain;8.0
423;softloadup.com;Domain;8.0
424;survefuz.com;Domain;8.0
425;vinergil.com;Domain;8.0
426;zbignef.com;Domain;8.0
427;districoperav.icu;Organization;9.0
428;varanasiclick.ru;Organization;9.0
429;Syenergy Consulting & Representation Ltd;Target;8.0
430;Synergy Consulting & Representation Ltd;Organization;8.0
431;office;Tool;7.0
432;gov.ua;Target;8.0
433;Pterodo;Tool;7.0
434;Icloud;Tool;7.0
435;Iclouding;Tool;7.0
436;spisok_24.08.2018.com;Tool;7.0
437;iclouds;Tool;7.0
438;gov.ua;Organization;8.0
439;i.ua;Organization;9.0
440;ddns.net;Domain;8.0
441;Microsoft Edge;Tool;7.0
442;Microsoft Office Services;Tool;7.0
443;Microsoft Office Web Apps;Tool;7.0
444;ChakraCore;Tool;7.0
445;.NET Framework;Tool;7.0
446;Windows Host Compute Service Shim;Tool;7.0
447;Win32k;Tool;7.0
448;Microsoft Outlook;Tool;7.0
449;Paltalk;Tool;7.0
450;Pakistan;Country;10.0
451;China;Country;10.0
452;Mozilla;Organization;8.0
453;FileZilla;Organization;8.0
454;OpenVPN;Organization;8.0
455;WinSCP;Organization;8.0
456;Укрзалізниця;Target;8.0
457;BitsTransfer;Tool;7.0
458;WibuCm32;Tool;7.0
459;CodeMeter;Tool;7.0
460;SearchEmbdIndex;Tool;7.0
461;Ukrainian Railways;Organization;8.0
462;Ukrainian Volunteer Rescue Service;Organization;9.0
463;CodeMeter;Organization;6.0
464;morgunov.a;Individual;8.5
465;Трігубенко Сергій Георгійович;Individual;7.5
466;com.ua;Domain;8.0
467;Hexactor;Hacker Group;9.0
468;Ministry of Defense of Ukraine;Target;8.0
469;ISTAR ОУВ "Запоріжжя";Target;8.0
470;DELTA system;Target;8.0
471;VMProtect;Tool;7.0
472;RomCom;Tool;7.0
473;FateGrab;Tool;7.0
474;StealDeal;Tool;7.0
475;certificates_rootCA;Tool;7.0
476;ais;Tool;7.0
477;Ministry of Defense of Ukraine;Organization;8.0
478;ISTAR OUV Zaporizhzhia;Organization;8.0
479;Great C Technologies;Organization;9.0
480;delta-storages.com;Domain;7.0
481;hexactor.com;Domain;8.0
482;Sandworm;Hacker Group;9.0
483;Укрінформ;Target;8.0
484;CADDYWIPER;Tool;7.0
485;ZeroWipe;Tool;7.0
486;SDelete;Tool;7.0
487;AWFULSHRED;Tool;7.0
488;BidSwipe;Tool;7.0
489;France;Country;5.0
490;Ukrinform;Organization;8.0
491;Sandworm;Organization;9.0
492;digitalcourage.de;Organization;6.0
493;besthosting.ua;Organization;6.0
494;milkywan.fr;Organization;6.0
495;digitalcourage.de;Domain;4.0
496;besthosting.ua;Domain;4.0
497;milkywan.fr;Domain;4.0
498;State Sector Websites;Target;8.0
499;Banking Sector Websites;Target;8.0
500;Defence Sector Websites;Target;8.0
501;Cyber Incident Response Center;Organization;6.0
502;Operations and Technical Service of State Center for Cyber Defense;Organization;6.0
503;ua;Domain;7.0
504;raidforums.com;Domain;8.0
505;Zabbix;Target;8.0
506;Zabbix;Tool;7.0
507;portswigger.net;Domain;4.0
508;sonarsource.com;Domain;4.0
509;zabbix.com;Domain;4.0
510;SAML SSO;Tool;7.0
511;TontoTeam;Hacker Group;9.0
512;Russian Scientific-Technical Enterprises;Target;8.0
513;Russian Aviation Enterprises;Target;8.0
514;Russian State Bodies;Target;8.0
515;RoyalRoad builder;Tool;7.0
516;Bisonal;Tool;7.0
517;QuickMute;Tool;7.0
518;Russian scientific-technical sector enterprises;Organization;8.0
519;Russian aviation enterprises;Organization;8.0
520;Russian state bodies;Organization;8.0
521;lingrevelat.com;Domain;8.0
522;UNC1151;Hacker Group;9.0
523;WScript;Tool;7.0
524;.NET Loader;Tool;7.0
525;MicroBackdoor;Tool;7.0
526;cr4sh;Individual;8.5
527;Dmytro Oleksiuk;Individual;8.5
528;xbeta.online;Domain;8.0
529;Government Sector Websites;Target;8.0
530;defense sector websites;Target;8.0
531;inject;Tool;7.0
532;Skype;Tool;7.0
533;SFX-archive;Tool;7.0
534;dhdhk0k34.com;Domain;8.0
535;ao3.hmgo[.]pw;Domain;8.0
536;hmgo[.]pw;Domain;8.0
537;.NET program 'dhdhk0k34.com';Tool;7.0
538;ao3.hmgo.pw;Domain;8.0
539;hmgo.pw;Domain;8.0
540;UAC-0056;Hacker Group;9.0
541;Ukrainian State Bodies;Target;8.0
542;Base-Update;Tool;7.0
543;java-sdk;Tool;7.0
544;oracle-java;Tool;7.0
545;microsoft-cortana;Tool;7.0
546;GraphSteel;Tool;7.0
547;GrimPlant;Tool;7.0
548;GoDownloader;Tool;7.0
549;UAC-0041;Hacker Group;9.0
550;Citizens of Ukraine;Target;8.0
551;Domestic Ukrainian Organizations;Target;8.0
552;MARSSTEALER;Tool;7.0
553;drive.google.com;Domain;8.0
554;api.dev-com.sc;Domain;8.0
555;dev-com.sc;Domain;8.0
556;Latvian State Institution;Target;8.0
557;Windows Shortcut;Tool;7.0
558;Latvia;Country;8.0
559;Latvian state institution;Organization;8.0
560;UAC-0010;Organization;9.0
561;military-ukraine.site;Domain;8.0
562;military-ukraine.online;Domain;8.0
563;co87972.tmweb.ru;Domain;8.0
564;Ukrainian State Authorities;Target;8.0
565;Shortcut;Tool;7.0
566;PowerShell script;Tool;7.0
567;get.php;Tool;7.0
568;GammaLoad;Tool;7.0
569;Ukrainian State Authorities;Organization;8.0
570;Vadim Melnik;Individual;8.5
571;jokotras.ru;Domain;8.0
572;tiloraso.ru;Domain;8.0
573;prefer.jokotras.ru;Domain;8.0
574;milotrad.ru;Domain;8.0
575;potrakit.ru;Domain;8.0
576;tortunas.ru;Domain;8.0
577;linode.com;Domain;4.0
578;Prosecutor's Office;Target;8.0
579;NO-IP;Tool;7.0
580;LNK;Tool;7.0
581;Czech Republic;Country;5.0
582;Prosecutor's Office;Organization;8.0
583;NO-IP;Organization;6.0
584;m-vz.webhop.me;Domain;8.0
585;a0656203.xsph.ru;Domain;8.0
586;webhop.me;Domain;8.0
587;xsph.ru;Domain;8.0
588;lnk-upload.dodortar.ru;Domain;8.0
589;dod-upload.dodortar.ru;Domain;8.0
590;ln-upl.ddns.net;Domain;8.0
591;d-upl.ddns.net;Domain;8.0
592;up-dot.myftp.org;Domain;8.0
593;up-lnk.myftp.org;Domain;8.0
594;nitikora.ru;Domain;8.0
595;dodortar.ru;Domain;8.0
596;kopratiso.ru;Domain;8.0
597;billyhot.ru;Domain;8.0
598;bilitora.ru;Domain;8.0
599;194.58.121.198;Domain;8.0
600;194.180.174.105;Domain;8.0
601;149.248.13.58;Domain;8.0
602;ddnsking.com;Domain;8.0
603;3utilities.com;Domain;8.0
604;bounceme.net;Domain;8.0
605;freedynamicdns.net;Domain;8.0
606;freedynamicdns.org;Domain;8.0
607;gotdns.ch;Domain;8.0
608;hopto.org;Domain;8.0
609;myddns.me;Domain;8.0
610;myftp.biz;Domain;8.0
611;myftp.org;Domain;8.0
612;myvnc.com;Domain;8.0
613;onthewifi.com;Domain;8.0
614;redirectme.net;Domain;8.0
615;servebeer.com;Domain;8.0
616;serveblog.net;Domain;8.0
617;servecounterstrike.com;Domain;8.0
618;serveftp.com;Domain;8.0
619;servegame.com;Domain;8.0
620;servehalflife.com;Domain;8.0
621;servehttp.com;Domain;8.0
622;serveirc.com;Domain;8.0
623;serveminecraft.net;Domain;8.0
624;servemp3.com;Domain;8.0
625;servepics.com;Domain;8.0
626;servequake.com;Domain;8.0
627;sytes.net;Domain;8.0
628;viewdns.net;Domain;8.0
629;zapto.org;Domain;8.0
630;noip.com;Domain;8.0
631;post.cz;Domain;4.0
632;a0322810.xsph.ru;Domain;8.0
633;nikitora.ru;Domain;8.0
634;Ukrainian Energy Sector Infrastructure;Target;8.0
635;High Voltage Electric Substations;Target;8.0
636;Electronic Computing Machines (Windows);Target;8.0
637;Linux-based Server Equipment;Target;8.0
638;Active Network Equipment;Target;8.0
639;INDUSTROYER2;Tool;7.0
640;ARGUEPATCH;Tool;7.0
641;TAILJUMP;Tool;7.0
642;ORCSHRED;Tool;7.0
643;SOLOSHRED;Tool;7.0
644;POWERGAP;Tool;7.0
645;Energy sector of Ukraine;Organization;8.0
646;ESET;Organization;6.0
647;Sukaut;Hacker Group;9.0
648;Zimbra Collaboration Suite;Target;8.0
649;Armed Forces Email Accounts;Target;8.0
650;Zimbra Collaboration Suite;Tool;7.0
651;JUnit.js;Tool;7.0
652;Armed Forces of Ukraine;Organization;8.0
653;Zimbra;Organization;6.0
654;kmtacn.com;Domain;8.0
655;cdn.jsdelivr.net;Domain;4.0
656;yandex.ru;Domain;4.0
657;TrickBot;Hacker Group;9.0
658;Ukrainian Government;Target;8.0
659;Meterpreter;Tool;7.0
660;z;Tool;7.0
661;b;Tool;7.0
662;loader;Tool;7.0
663;a;Tool;7.0
664;Government of Ukraine;Organization;8.0
665;rs500cosworth.com;Domain;8.0
666;MISP;Tool;7.0
667;OpenPGP;Tool;7.0
668;dis.gov.ua;Domain;4.0
669;ncscc.gov.ua;Domain;4.0
670;www.cisa.gov;Domain;4.0
671;APT28;Hacker Group;9.0
672;CredoMap_v2;Tool;7.0
673;UkrScanner;Tool;7.0
674;Pipedream;Tool;7.0
675;MISP;Organization;6.0
676;Pipedream;Organization;6.0
677;eo2mxtqmeqzafqi.m.pipedream.net;Domain;8.0
678;m.pipedream.net;Domain;8.0
679;ginaengg.com;Domain;8.0
680;JesterStealer;Tool;7.0
681;Japan;Country;10.0
682;igshop.net;Domain;8.0
683;dcshost.net;Domain;8.0
684;marmaris.com.ua;Domain;8.0
685;autodoka.com.ua;Domain;8.0
686;lightnogu5owjjllyo4tj2sfos6fchnmcidlgo6c7e6fz2hgryhfhoyd.onion;Domain;8.0
687;wasabiwallet.online;Domain;8.0
688;ip-api.com;Domain;4.0
689;sv5206.xserver.jp;Domain;8.0
690;Critical Infrastructure Kherson;Target;8.0
691;Kherson;Target;8.0
692;cmd;Tool;7.0
693;sendmail.website;Domain;8.0
694;a0671524.xsph.ru;Domain;8.0
695;a0667987.xsph.ru;Domain;8.0
696;qiwardos.ru;Domain;8.0
697;milotraf.ru;Domain;8.0
698;nikotod.ru;Domain;8.0
699;icanhazip.com;Domain;4.0
700;Telecommunications Providers in Ukraine;Target;8.0
701;Media Organizations in Ukraine;Target;8.0
702;DarkCrystal RAT;Tool;7.0
703;MSCommondll;Tool;7.0
704;MSCommonDriver;Tool;7.0
705;MSCommonDriver.DCRat;Tool;7.0
706;PythonHttpGeolongpolldefault;Tool;7.0
707;Алгоритм_LegalAid;Tool;7.0
708;Operators and telecommunications providers in Ukraine;Organization;8.0
709;Media organizations in Ukraine;Organization;8.0
710;plexbd.net;Domain;8.0
711;datagroup.ddns.net;Domain;8.0
712;Municipal Enterprise;Target;8.0
713;BitTorrent;Tool;7.0
714;DWAgent;Tool;7.0
715;Python;Tool;7.0
716;Windows Update;Tool;7.0
717;KMSAuto;Tool;7.0
718;DWService;Organization;9.0
719;GitHub;Organization;6.0
720;toloka.to;Domain;8.0
721;dwservice.net;Domain;8.0
722;bt.toloka.tv;Domain;8.0
723;bt.hurtom.com;Domain;8.0
724;toloka.tv;Domain;8.0
725;run.mocky.io;Domain;8.0
726;mockbin.org;Domain;4.0
727;m247.ro;Domain;8.0
728;UAC-0006;Hacker Group;9.0
729;EOM of accountants;Target;8.0
730;Computers of accountants;Target;8.0
731;Remote Banking Systems;Target;8.0
732;SMOKELOADER;Tool;7.0
733;portable;Tool;7.0
734;pax_2023_AB1058..js;Tool;7.0
735;homospoison.ru;Domain;8.0
736;3dstore.pro;Domain;8.0
737;balkimotion.ru;Domain;8.0
738;coudzoom.ru;Domain;8.0
739;criticalosl.tech;Domain;8.0
740;humanitarydp.ug;Domain;8.0
741;ipodromlan.ru;Domain;8.0
742;lamazone.site;Domain;8.0
743;ligaspace.ru;Domain;8.0
744;maximprofile.net;Domain;8.0
745;redport80.ru;Domain;8.0
746;shopersport.ru;Domain;8.0
747;sindoproperty.org;Domain;8.0
748;superboler.com;Domain;8.0
749;zaliphone.com;Domain;8.0
750;atl.ua;Domain;7.0
751;dl.kr-admin.gov.ua;Domain;7.0
752;mayak.dp.ua;Domain;7.0
753;Uganda;Country;10.0
754;atl;Organization;8.0
755;dl.kr-admin.gov;Organization;8.0
756;mayak;Organization;8.0
757;homospoison;Organization;9.0
758;3dstore;Organization;9.0
759;balkimotion;Organization;9.0
760;coudzoom;Organization;9.0
761;criticalosl;Organization;9.0
762;humanitarydp;Organization;9.0
763;ipodromlan;Organization;9.0
764;lamazone;Organization;9.0
765;ligaspace;Organization;9.0
766;maximprofile;Organization;9.0
767;redport80;Organization;9.0
768;shopersport;Organization;9.0
769;sindoproperty;Organization;9.0
770;superboler;Organization;9.0
771;zaliphone;Organization;9.0
772;beliy;Individual;7.5
773;inbox6;Individual;7.5
774;nvn;Individual;7.5
775;UAC-0063;Hacker Group;9.0
776;Ukrainian State Institution;Target;8.0
777;SvcRestartTaskLogon;Tool;7.0
778;WsSwapAssessmentTask;Tool;7.0
779;SoftwareProtectionPlatform;Tool;7.0
